player,date,elo_before,rolling_win_pct,last3_win_avg,surface_win_pct,rolling_ace_avg,rolling_minutes_avg,rolling_bp_save,current_elo,last5_1,last5_2,last5_3,last5_4,last5_5
Alexander Bublik,2026-05-26,1687.8908867671494,0.5,0.6666666666666666,0.5,5.3,82.8,0.5709876543209877,1663.4489833815678,0,0.0,1.0,1.0,0.0
Alexander Ritschard,2025-03-31,1480.4599232000126,0.0,0.0,0.0,4.0,118.0,0.6666666666666666,1465.5309465969124,0,0.0,,,
Alexander Shevchenko,2026-05-25,1516.6370061351272,0.4,0.3333333333333333,0.4,4.7,105.1,0.515,1504.822395975366,0,0.0,1.0,0.0,0.0
Alexander Vasilev,2026-02-06,1530.0058250764182,1.0,1.0,1.0,0.5,115.0,0.8,1514.383081175269,0,1.0,1.0,,
Alexander Zverev,2026-05-24,1867.3133826462827,0.7,0.6666666666666666,0.7,5.0,97.0,0.4574074074074074,1871.690346135845,1,0.0,1.0,1.0,0.0
Alexandre Muller,2026-05-26,1462.6473841849074,0.3,0.0,0.4,3.6,101.3,0.5312337662337663,1452.6855252841367,0,0.0,0.0,0.0,0.0
Alexei Popyrin,2026-05-26,1565.1103140266719,0.5,0.6666666666666666,0.5,6.9,109.4,0.6025132275132274,1543.7492465523944,0,0.0,1.0,1.0,0.0
Alexey Vatutin,2024-10-14,1500.0,,,,,,,1483.1797266342087,0,,,,
Alexis Galarneau,2026-03-05,1478.7470855437684,0.25,0.3333333333333333,0.25,6.0,122.0,0.5208333333333333,1463.1906565294294,0,1.0,0.0,0.0,0.0
Alexis Klegou,2025-09-13,1484.0339081301693,0.0,0.0,0.0,,,,1467.7442868820533,0,0.0,,,
Alibek Kachmazov,2025-07-14,1509.2397582682809,0.6,0.6666666666666666,0.6,5.8,94.8,0.40625,1492.8662797100205,0,0.0,1.0,0.0,1.0
Altug Celikbilek,2024-02-02,1500.0,,,,,,,1515.263693206478,1,,,,
Alvaro Guillen Meza,2026-02-06,1486.363835970524,0.4,0.6666666666666666,0.5,1.5,121.75,0.5125,1500.849704072497,1,1.0,1.0,0.0,0.0
Amir Omarkhanov,2025-10-13,1500.0,,,,,,,1488.7377053534942,0,,,,
Amit Vales,2026-02-06,1500.0,0.0,0.0,0.0,2.0,131.0,0.45454545454545453,1469.2213040626286,0,0.0,,,
Ammar Alhogbani,2025-01-31,1500.0,,,,,,,1483.2831192397123,0,,,,
Ammar Elamin,2025-01-31,1500.0,,,,,,,1516.0,1,,,,
Amr Elsayed Abdou Ah Mohamed,2025-02-01,1500.765378535498,0.5,0.5,0.5,2.0,93.0,0.0,1484.669810279735,0,0.0,1.0,,
Andrea Collarini,2024-07-22,1500.0,,,,,,,1482.2501789286089,0,,,,
